char	codepoint	block	sources
𡂿	u+210bf	CJK Unified Ideographs Extension B	lim_1997
𡏩	u+213e9	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𡚸	u+216b8	CJK Unified Ideographs Extension B	li_1959;lim_1997
𡜵	u+21735	CJK Unified Ideographs Extension B	li_1959
𡟓	u+217d3	CJK Unified Ideographs Extension B	li_1959;lim_1997
𡥘	u+21958	CJK Unified Ideographs Extension B	li_1959;lim_1997;zeng_1991
𡩴	u+21a74	CJK Unified Ideographs Extension B	ghou_lim_1983
𡫬	u+21aec	CJK Unified Ideographs Extension B	lim_1997
𡼲	u+21f32	CJK Unified Ideographs Extension B	ghou_lim_1983
𢅎	u+2214e	CJK Unified Ideographs Extension B	li_lim_1992
𢙼	u+2267c	CJK Unified Ideographs Extension B	li_lim_1992
𢤱	u+22931	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𢬎	u+22b0e	CJK Unified Ideographs Extension B	li_1959
𢯞	u+22bde	CJK Unified Ideographs Extension B	li_1959
𢰝	u+22c1d	CJK Unified Ideographs Extension B	li_1959
𢱡	u+22c61	CJK Unified Ideographs Extension B	li_lim_1992
𢲸	u+22cb8	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𢲾	u+22cbe	CJK Unified Ideographs Extension B	ghou_lim_1983
𢴿	u+22d3f	CJK Unified Ideographs Extension B	li_1959
𢶀	u+22d80	CJK Unified Ideographs Extension B	lim_1997
𢶍	u+22d8d	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959
𢻨	u+22ee8	CJK Unified Ideographs Extension B	li_1959
𣁧	u+23067	CJK Unified Ideographs Extension B	li_1959
𣖄	u+23584	CJK Unified Ideographs Extension B	li_lim_1992
𣙷	u+23677	CJK Unified Ideographs Extension B	ghou_lim_1983
𣛮	u+236ee	CJK Unified Ideographs Extension B	ghou_lim_1983
𣟄	u+237c4	CJK Unified Ideographs Extension B	ghou_lim_1983
