char	codepoint	block	sources	noto-sans-tc	babelstone-han	i-ming
𠱀	u+20c40	CJK Unified Ideographs Extension B	ghou_lim_1983;lim_1997	False	True	True
𠱃	u+20c43	CJK Unified Ideographs Extension B	li_1959	True	True	True
𠶧	u+20da7	CJK Unified Ideographs Extension B	zeng_1991	True	True	True
𠷿	u+20dff	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	False
𠹛	u+20e5b	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𠹭	u+20e6d	CJK Unified Ideographs Extension B	ghou_lim_1983	True	True	True
𠿓	u+20fd3	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	True	True
𠿺	u+20ffa	CJK Unified Ideographs Extension B	ghou_lim_1983;lim_1997	False	False	False
𡂿	u+210bf	CJK Unified Ideographs Extension B	lim_1997	True	True	False
𡏩	u+213e9	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	True	True
𡚸	u+216b8	CJK Unified Ideographs Extension B	li_1959;lim_1997	True	False	True
𡜵	u+21735	CJK Unified Ideographs Extension B	li_1959	False	True	True
𡟓	u+217d3	CJK Unified Ideographs Extension B	li_1959;lim_1997	False	True	True
𡥘	u+21958	CJK Unified Ideographs Extension B	li_1959;lim_1997;zeng_1991	True	True	False
𡩴	u+21a74	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	False
𡫬	u+21aec	CJK Unified Ideographs Extension B	lim_1997	False	False	True
𡼲	u+21f32	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	False
𢅎	u+2214e	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𢙼	u+2267c	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𢤱	u+22931	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	True	True
𢬎	u+22b0e	CJK Unified Ideographs Extension B	li_1959	True	False	False
𢯞	u+22bde	CJK Unified Ideographs Extension B	li_1959	False	False	False
𢰝	u+22c1d	CJK Unified Ideographs Extension B	li_1959	False	True	True
𢱡	u+22c61	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𢲸	u+22cb8	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	True	True
𢲾	u+22cbe	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	True
𢴿	u+22d3f	CJK Unified Ideographs Extension B	li_1959	False	False	True
𢶀	u+22d80	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𢶍	u+22d8d	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959	True	True	True
𢻨	u+22ee8	CJK Unified Ideographs Extension B	li_1959	False	True	False
𣁧	u+23067	CJK Unified Ideographs Extension B	li_1959	False	False	True
𣖄	u+23584	CJK Unified Ideographs Extension B	li_lim_1992	False	True	False
𣙷	u+23677	CJK Unified Ideographs Extension B	ghou_lim_1983	True	False	False
𣛮	u+236ee	CJK Unified Ideographs Extension B	ghou_lim_1983	True	True	True
𣟄	u+237c4	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	True
𣟵	u+237f5	CJK Unified Ideographs Extension B	li_1959;li_lim_1992	False	True	True
𣢁	u+23881	CJK Unified Ideographs Extension B	li_lim_1992	False	False	True
𣢣	u+238a3	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𣭾	u+23b7e	CJK Unified Ideographs Extension B	li_1959	False	False	False
𣴨	u+23d28	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	False	False
𣵀	u+23d40	CJK Unified Ideographs Extension B	ghou_lim_1983	True	True	True
𣶍	u+23d8d	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	True	True
𣽏	u+23f4f	CJK Unified Ideographs Extension B	li_1959	False	True	True
𣿅	u+23fc5	CJK Unified Ideographs Extension B	lim_1997	True	True	True
𤄷	u+24137	CJK Unified Ideographs Extension B	li_1959	False	True	True
𤆬	u+241ac	CJK Unified Ideographs Extension B	zeng_1991	True	True	True
𤏡	u+243e1	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	False
𤞚	u+2479a	CJK Unified Ideographs Extension B	ghou_lim_1983;li_lim_1992;lim_1997	False	True	True
𤷕	u+24dd5	CJK Unified Ideographs Extension B	li_lim_1992	False	False	True
𤷗	u+24dd7	CJK Unified Ideographs Extension B	li_lim_1992	False	False	True
𤷫	u+24deb	CJK Unified Ideographs Extension B	li_1959;li_lim_1992	True	False	False
𤼐	u+24f10	CJK Unified Ideographs Extension B	li_lim_1992	False	False	True
𥆌	u+2518c	CJK Unified Ideographs Extension B	li_lim_1992	False	False	True
𥉐	u+25250	CJK Unified Ideographs Extension B	li_1959	True	True	True
𥍉	u+25349	CJK Unified Ideographs Extension B	li_1959	False	True	True
𥎱	u+253b1	CJK Unified Ideographs Extension B	ghou_lim_1983	False	False	True
𥑐	u+25450	CJK Unified Ideographs Extension B	li_1959	False	True	True
𥒰	u+254b0	CJK Unified Ideographs Extension B	zeng_1991	False	True	True
𥕦	u+25566	CJK Unified Ideographs Extension B	ghou_lim_1983	True	True	True
𥱊	u+25c4a	CJK Unified Ideographs Extension B	li_1959	True	False	False
𥴴	u+25d34	CJK Unified Ideographs Extension B	li_lim_1992	False	False	True
𥸱	u+25e31	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	False
𥹂	u+25e42	CJK Unified Ideographs Extension B	zeng_1991	False	True	True
𥺴	u+25eb4	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	False
𦃘	u+260d8	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𦅇	u+26147	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	True	True
𦢊	u+2688a	CJK Unified Ideographs Extension B	li_lim_1992	True	True	True
𦭶	u+26b76	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	True
𦮷	u+26bb7	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	True
𧊭	u+272ad	CJK Unified Ideographs Extension B	li_1959	False	False	True
𧌊	u+2730a	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959	False	False	True
𧐔	u+27414	CJK Unified Ideographs Extension B	ghou_lim_1983	False	False	True
𧙥	u+27665	CJK Unified Ideographs Extension B	li_1959	False	True	True
𧝞	u+2775e	CJK Unified Ideographs Extension B	ghou_lim_1983	True	True	False
𧟄	u+277c4	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	True
𧢢	u+278a2	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𧬨	u+27b28	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𧭈	u+27b48	CJK Unified Ideographs Extension B	lim_1997	True	True	True
𧰵	u+27c35	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𧳟	u+27cdf	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𧻓	u+27ed3	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𧿉	u+27fc9	CJK Unified Ideographs Extension B	li_1959	False	True	True
𧿼	u+27ffc	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	True
𨁷	u+28077	CJK Unified Ideographs Extension B	li_1959	False	False	True
𨂿	u+280bf	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𨄮	u+2812e	CJK Unified Ideographs Extension B	ghou_lim_1983;lim_1997	True	True	False
𨇗	u+281d7	CJK Unified Ideographs Extension B	li_1959	False	True	True
𨉖	u+28256	CJK Unified Ideographs Extension B	li_1959	True	True	True
𨍹	u+28379	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𨓈	u+284c8	CJK Unified Ideographs Extension B	lim_1997	False	True	True
𨻧	u+28ee7	CJK Unified Ideographs Extension B	ghou_lim_1983	True	True	False
𨻼	u+28efc	CJK Unified Ideographs Extension B	li_1959	False	True	True
𩁺	u+2907a	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𩄽	u+2913d	CJK Unified Ideographs Extension B	li_1959	False	False	True
𩅉	u+29149	CJK Unified Ideographs Extension B	li_1959	False	True	True
𩐅	u+29405	CJK Unified Ideographs Extension B	ghou_lim_1983	False	True	True
𩓐	u+294d0	CJK Unified Ideographs Extension B	ghou_lim_1983	True	True	False
𩩍	u+29a4d	CJK Unified Ideographs Extension B	li_lim_1992	True	False	True
𩭲	u+29b72	CJK Unified Ideographs Extension B	ghou_lim_1983	False	False	False
𩶱	u+29db1	CJK Unified Ideographs Extension B	li_lim_1992	False	True	True
𩷽	u+29dfd	CJK Unified Ideographs Extension B	ghou_lim_1983	False	False	False
𪃿	u+2a0ff	CJK Unified Ideographs Extension B	li_1959	False	True	True
𪉿	u+2a27f	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997	False	True	True
𪭪	u+2ab6a	CJK Unified Ideographs Extension C	li_1959	False	True	False
𪰍	u+2ac0d	CJK Unified Ideographs Extension C	li_1959	False	True	False
𫀸	u+2b038	CJK Unified Ideographs Extension C	li_1959	False	True	False
𫊬	u+2b2ac	CJK Unified Ideographs Extension C	li_1959	False	False	False
𫎱	u+2b3b1	CJK Unified Ideographs Extension C	li_lim_1992	False	True	False
𫜦	u+2b726	CJK Unified Ideographs Extension C	li_1959	False	True	False
𫢗	u+2b897	CJK Unified Ideographs Extension E	li_1959	False	True	False
𫩷	u+2ba77	CJK Unified Ideographs Extension E	li_1959;zeng_1991	False	True	False
𫰇	u+2bc07	CJK Unified Ideographs Extension E	zeng_1991	False	False	False
𫾚	u+2bf9a	CJK Unified Ideographs Extension E	zeng_1991	False	True	False
𬉸	u+2c278	CJK Unified Ideographs Extension E	li_lim_1992	False	True	False
𬓤	u+2c4e4	CJK Unified Ideographs Extension E	li_1959	False	True	False
𬠋	u+2c80b	CJK Unified Ideographs Extension E	li_1959	False	True	True
𬠕	u+2c815	CJK Unified Ideographs Extension E	li_1959	False	True	False
𬶼	u+2cdbc	CJK Unified Ideographs Extension E	li_1959	False	True	False
𭭖	u+2db56	CJK Unified Ideographs Extension F	li_lim_1992	False	True	False
𰇇	u+301c7	CJK Unified Ideographs Extension G	li_1959;lim_1997	False	True	False
𰉀	u+30240	CJK Unified Ideographs Extension G	li_1959	False	True	False
𰔖	u+30516	CJK Unified Ideographs Extension G	li_lim_1992	False	False	False
𰩭	u+30a6d	CJK Unified Ideographs Extension G	zeng_1991	False	True	False
